timestamp,building_id,device_id,energy_usage,temperature,occupancy
2026-01-01 00:00:00,B1,HVAC_1,35.5,28,45
2026-01-01 01:00:00,B1,HVAC_1,32.1,27,38
2026-01-01 02:00:00,B1,HVAC_1,30.8,27,30
2026-01-01 03:00:00,B1,HVAC_1,29.4,26,25
2026-01-01 04:00:00,B1,HVAC_1,28.9,26,22
2026-01-01 05:00:00,B1,HVAC_1,31.2,27,28
2026-01-01 06:00:00,B1,HVAC_1,40.5,28,50
2026-01-01 07:00:00,B1,HVAC_1,48.2,29,70
2026-01-01 08:00:00,B1,HVAC_1,55.6,30,85
2026-01-01 09:00:00,B1,HVAC_1,60.1,31,90
2026-01-01 10:00:00,B1,HVAC_1,65.4,32,95
2026-01-01 11:00:00,B1,HVAC_1,68.2,33,100
2026-01-01 12:00:00,B1,HVAC_1,70.5,34,105
2026-01-01 13:00:00,B1,HVAC_1,72.4,35,110
2026-01-01 14:00:00,B1,HVAC_1,74.1,35,108
2026-01-01 15:00:00,B1,HVAC_1,71.8,34,102
2026-01-01 16:00:00,B1,HVAC_1,69.2,33,98
2026-01-01 17:00:00,B1,HVAC_1,75.3,32,110
2026-01-01 18:00:00,B1,HVAC_1,82.6,31,120
2026-01-01 19:00:00,B1,HVAC_1,88.9,30,125
2026-01-01 20:00:00,B1,HVAC_1,85.4,29,118
2026-01-01 21:00:00,B1,HVAC_1,78.2,28,95
2026-01-01 22:00:00,B1,HVAC_1,60.7,28,65
2026-01-01 23:00:00,B1,HVAC_1,45.3,27,50
